team_name,team_initials
'Tunisia', 'TUN'
'Uruguay', 'URU'
'Switzerland', 'SUI'
'Sweden', 'SWE'
'Spain', 'ESP'
'South Korea', 'KOR'
'Serbia', 'SRB'
'Senegal', 'SEN'
'Saudi Arabia', 'KSA'
'Russia', 'RUS'
'Portugal', 'POR'
'Poland', 'POL'
'Peru', 'PER'
'Panama', 'PAN'
'Nigeria', 'NGA'
'Morocco', 'MAR'
'Mexico', 'MEX'
'Japan', 'JPN'
'Iran', 'IRN'
'Iceland', 'ISL'
'Germany', 'GER'
'France', 'FRA'
'England', 'ENG'
'Egypt', 'EGY'
'Denmark', 'DEN'
'Croatia', 'CRO'
'Costa Rica', 'CRC'
'Colombia', 'COL'
'Brazil', 'BRA'
'Belgium', 'BEL'
'Australia', 'AUS'
'Argentina', 'ARG'